CO_GRUPO;IdPersona;FE_ALTA;Monto;Fe_castigo;Monto_castigado
5383;3576147;27/07/2021;787.00;;
2468;3582277;14/01/2021;1258.00;;
1019;3596012;11/09/2021;1087.00;;
0419;3598448;13/12/2021;2087.00;;
2552;3602612;17/11/2021;1787.00;;
0121;3619871;10/01/2021;1958.00;;
2117;3619913;20/12/2021;1687.00;;
2439;3633252;12/12/2021;1087.00;;
2439;3633351;02/11/2021;2087.00;;
3638;3636305;07/10/2021;587.00;;
1DV6;3678018;21/12/2021;687.00;;
1DV6;3678547;14/12/2021;887.00;;
0WOM;3706074;20/12/2021;3287.00;;
0419;3794443;15/11/2021;2487.00;;
2305;3821592;04/12/2021;1587.00;;
2640;3835154;10/07/2021;1087.00;;
6412;3841624;17/01/2021;558.00;;
2741;3845823;19/08/2021;1787.00;;
2741;3846276;11/09/2021;1387.00;;
2741;3847456;29/08/2021;1287.00;;
2741;3848918;21/10/2021;587.00;;
5383;3861796;21/08/2021;2587.00;;
5383;3861879;05/12/2021;987.00;;
5383;3862547;03/10/2021;887.00;;
5383;3862984;28/08/2021;787.00;;
1BAZ;3865706;27/12/2021;1187.00;;
1870;3901428;15/01/2021;558.00;;
1870;3901659;09/01/2021;758.00;;
1870;3901907;26/02/2021;558.00;;
1870;3901907;15/01/2021;558.00;;
1870;3902160;11/10/2021;1187.00;;
1870;3902350;29/03/2021;558.00;;
6410;3904042;22/10/2021;587.00;;
1265;3915972;25/11/2021;2087.00;;
1265;3915980;02/05/2021;2158.00;;
1265;3916079;06/11/2021;3487.00;;
1265;3916152;22/04/2021;1758.00;;
2749;3916988;30/08/2021;687.00;;
0191;3932019;25/08/2021;5087.00;;
2167;3941119;16/08/2021;1787.00;;
2167;3941119;24/04/2021;858.00;;
8282;3955192;20/01/2021;558.00;;
8282;3956174;11/01/2021;558.00;;
8282;3957503;05/02/2021;2258.00;;
8282;3957503;08/01/2021;2358.00;;
8282;3957875;02/01/2021;758.00;;
2980;3985314;04/05/2021;558.00;;
2980;3985314;05/02/2021;658.00;;
18AY;3996527;15/11/2021;1787.00;;
3005;4013876;31/10/2021;1087.00;;
0OJC;4014684;01/10/2021;6387.00;;
3005;4015368;02/03/2021;558.00;;
1019;4023248;05/12/2021;1787.00;;
3709;4025490;05/03/2021;858.00;;
3044;4036422;15/09/2021;6587.00;;
3044;4036463;22/09/2021;1587.00;;
3044;4036992;13/12/2021;587.00;;
3044;4037081;08/12/2021;1987.00;;
3044;4037289;28/12/2021;2087.00;;
0NFK;4069001;25/11/2021;687.00;;
0053;4087698;20/12/2021;1187.00;;
1354;4193488;21/08/2021;4087.00;;
